"ARGUMENTS","ENG","FR","KEYDESC","KEYNAME","KIND"
"{0} = minimum number of files; {1} = input files","Minimum number of polar files ({0}) not found. Files: {1}","","Means that minimum number of polar files were not found","09-021-00002","ERROR"
"{0} = stokes parameters found","Multiple stokes parameters found can only accept one valid. \n\t Stokes parameters found = {0}","","Means that multiple stokes parameters were found","09-021-00003","ERROR"
"{0} = A fiber name; {1} = B fiber name; {2} = number of A files; {3} = number of B files; {4} = valid number for A and B files ","Number of {0} and {1} files were the wrong number or inconsistent. \n\t Number of {0} files: {2} \n\t Number of {1} files: {3} \n\t Number of each should be {4}","","Means that number of A and B files were inconsistent","09-021-00004","ERROR"
"{0} = A fiber name; {1} = B fiber name; {2} = list of number of valid files","Number of {0} and {1} files incorrect. Total number must be {2}","","Means that number of files was not valid","09-021-00005","ERROR"
"{0} = polar method","Polarimetry method invalid (must be a python string)","","Means that polar method was not a valid python string","09-021-00006","ERROR"
"{0} = polar method","Polarimetry method invalid (must be 'difference' or 'ratio')","","Means that polar method was not valid","09-021-00007","ERROR"
"{0} = number of polar files; {1} = function name","Number of exposures (={0}) is not sufficient for polarimetry calcaultions. \n\t Function = {1}","","Means that the number of polar files was not valid","09-021-00008","ERROR"
"{0} = mask file name; {1} = error type; {2} = error message; {3} = function name","Cannot load LSD spectral mask from file {0} \n\t Error {1}: {2} \n\t Function = {3}","","Means that the temperature could not be obtained from mask file","09-021-00009","ERROR"
"{0} = exposure filename; {1} = polar key 1; {2} = polar key 2; {3} = function name","Exposure {0} must have keys {1} and {2} \n\t Function = {3}","","Means that exposure could not be set","09-021-00010","ERROR"
"{0} = exposure number","Exposure {0} has not been set correctly","","print that exposure N has been set correctly","09-021-00011","ERROR"
"None","Identified more than one stokes parameters in input data","","prints that we identified more than one stokes parameter in input data","09-021-00012","ERROR"
"{0} = filename; {1} = exposure number; {2} = stokes parameter","\n\tFile: {0}\tExp: {1}\tStokes: {2}","","prints the exposure parameters when we identify more then one stokes parameter","09-021-00013","ERROR"
"{0} = object name","Object name from header ({0}) not consistent between files","","prints that object name is not consistent between polar files","09-021-00014","ERROR"
"{0} = filename; {1} = object keyword; {2} = object name","\n\t File: {0}\t{1} = {2}","","prints the exposure file + object name for all files when object name is inconsistent","09-021-00015","ERROR"
"{0} = user defined polar method","Method: {0} not valid for polarimetry calculation","","prints that method is not valid for polarimetry calculation","09-021-00016","ERROR"
"{0} = current alogirthm selected by user; {1}  = function name","Stokes I continuum detection algorithm invalid\n\t Must be ""MOVING_MEDIAN"" or ""IRAF""\n\tCurrent: {0}\n\tFunction={1}","","prints that stokes I continuum detection algoirthm invalid","09-021-00017","ERROR"
"{0} = continuum mode; {1} = function name","Can not recognize selected continuum mode: {0} \n\t Function={1}","","prints that we cannot recognize continnum mode","09-021-00018","ERROR"
"{0} = Continuum function; {1} = function name","Continuum function {0} not valid for {1}","","prints that fit continuum function is not valid","09-021-00019","ERROR"
"{0} = selected polar mode; {1} = function name","Cannot recognize selected mode: {0} \n\t Function = {1}","","prints that we cannot recognize polar mode","09-021-00020","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"None","","","User Error: Plotting","09-100-00000","ERROR"
"None","OSX Error: Matplotlib MacOSX backend not supported by the DRS and could not change to another backend","","Means that backend is still mac osx which is unsupported by the drs","09-100-00001","ERROR"
"","","","","",""
"","","","","",""
"None","","","User Error: Locking","09-101-00000","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","","","User drs Reset error","09-502-00000","ERROR"
"","","","","",""
"","","","","",""
"None","","","User drs reprocess error","09-503-00000","ERROR"
"None","Must define run path (DRS_DATA_RUN)","","Means that DRS_DAT_RUN was not defined","09-503-00001","ERROR"
"{0} = filename","Cannot find run file {0}","","Means we cannot find the run file","09-503-00002","ERROR"
"{0} = filename; {1} = Error type; {2} = Error message; {3} = function name","Cannot open run file {0} \n\t Error {1}: {2} \n\t {3}","","Means we cannot open run file","09-503-00003","ERROR"
"{0} = key name; {1} = key value; {2} = id key name; {3} = Error Type; {4} = Error message; {5} = Function name","Problem reading run file key {0} = {1} \n\t Key must be {2}#### = command where #### is an integer. \n\t Error {3}: {4} \n\t Function = {5}","","Means we cannot read run file key","09-503-00004","ERROR"
"{0} = recipe name; {1} = recipe outputdir; {2} = function name","Recipe {0} has invalid value for 'outputdir'='{1}'. Must be 'raw', 'tmp' or 'red'. \n\t Function = {2}","","Means we could not use recipe.outputdir (must be raw tmp or red)","09-503-00005","ERROR"
"{0} = recipe name; {1} = run string; {2} = path; {3} = error type; {4} = error message; {5} = function name","Cannot construct valid outpath for recipe {0} \n\t Run string = {1} \n\t path = {2} \n\t Error {3}: {4} \n\t Function = {5}","","Means that the constructed outpath for finding a file was incorrect","09-503-00006","ERROR"
"{0} = recipe name; {1} = recipe inputdir; {2} = function name","Recipe {0} has invalid value for 'inputdir'='{1}'. Must be 'raw', 'tmp' or 'red'. \n\t Function = {2}","","Means we could not user recipe.inputdir (must be raw tmp or red)","09-503-00007","ERROR"
"{0} = recipe name; {1} = run string; {2} = path; {3} = error type; {4} = error message; {5} = function name","Cannot construct valid inpath for recipe {0} \n\t Run string = {1} \n\t path = {2} \n\t Error {3}: {4} \n\t Function = {5}","","Means that the constructed inpath for finding a file was incorrect","09-503-00008","ERROR"
"{0} = drs file name; {1} = drs recipe name; {2} = function name","For file defintion {0} (recipe={1}) 'outfunc' is unset. \n\t Function = {2}","","Means that outfunc is not defined for recipe/file","09-503-00009","ERROR"
"None","Trigger mode activate. Must define a night name.","","Means that night name is not defined but trigger mode is activated","09-503-00010","ERROR"
"","","","","",""
"","","","","",""
"None","","","Drs Listing messages","09-504-00000","ERROR"
"{0} = night name; {1} = path","Night name = {0} was not found in directory {1}","","Means that night name was not valid for path","09-504-00001","ERROR"
"","","","","",""
"","","","","",""
"None","","","Remake calib db user error messages","09-505-00000","ERROR"
"{0} = db type inputs","Database kind inputted was incorrect. \n\t Database kind = {0}","","Means that db type given was invalid","09-505-00001","ERROR"
"","","","","",""
"None","","","Database manager error messages","09-506-00000","ERROR"
"{0} = valid database names","Argument Error: --exportdb must be {0}","","Means that export db was not correct","09-506-00001","ERROR"
"{0} = database name","Database Error: Cannot load ""{0}"" database","","Means that we cannot load database for some reason","09-506-00002","ERROR"
"{0} = valid database names","Argument Error: --importdb must be {0}","","Means that import db was not correct","09-506-00003","ERROR"
"{0} = join mode","Argument Error: Join mode = '{0}'. Must be either 'append' or 'replace'","","Means that join mode was invalid","09-506-00004","ERROR"
"","","","","09-506-00005","ERROR"
"","","","","",""
"None","","","","09-506-00000","ERROR"
"","","","","",""
"None","","","Database manager / apero database error messages","09-507-00000","ERROR"
"None","Argument Error: --csv file is required","","prints that --csv file is required","09-507-00001","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"None","","","log stat error messages","09-508-00000","ERROR"
"None","No observation directories found.","","prints that we found no observation directories","09-508-00001","ERROR"
"{0}=time kind; {1} = input time; {2} = error type; {3} = error string","Time {0}={1} not understood. \n\t {2}: {3}","","prints that input time was not understood","09-508-00002","ERROR"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","\t","","Warning Messages","10-000-00000","WARNING"
"None","\tSkipping group","","Warns that we are skipping group due to event handling","10-000-00001","WARNING 6"
"","","","","",""
"","","","","",""
"","","","","",""
"None","\t","","IO Warning Messages","10-001-00000","WARNING"
"{0} = extension that failed; {1} = filename","Partially recovered fits file \n\t Problem with extension='{0}' \n\t filename='{1}'","","States that there was a problem with opening the fits file (but all extensions were opened up to extension X)","10-001-00001","WARNING 4"
"{0} = lock file name","File '{0}' is locked. Waiting... (Ctrl+C to unlock)","","States that there is a lock file present and we are waiting to continue","10-001-00002","WARNING"
"{0} = lock file name","Waiting to open lock file {0}. (Ctrl+C to unlock)","","States that we are waiting to open the lock file (as the lock file is already being opened)","10-001-00003","WARNING"
"{0} = lock file name","Waiting to close lock file {0}. (Ctrl+C to unlock)","","States that we are waiting to close (delete) the lock file (as the lock file is already being closed)","10-001-00004","WARNING"
"{0} = Error type; {1} = Error message","Problem with one of the fits file extensions: \n\t Error {0}: {1} \n\t Attempting to open available extensions manually.","","Means there was a problem reading one of the extensions","10-001-00005","WARNING 2"
"{0} = error type; {1} = Error message; {2} = extension of HDU; {3} = filename; {4} = function name","Error was found type{0} = {1} \n\t Corrected by manually reading extension {2} as a table \n\t Saving over file '{3}' \n\t function = {4}","","Means that we corrected the error found by reading just the first (or second) extension and have replaced the old file","10-001-00006","WARNING 2"
"{0} = database name; {1} = output file; {2} = error type; {3} = error message; {4} = function name","{0} database: Unable to chmod on file {1} \n\t Error {2}: {3} \n\t function = {4}","","Means that we were unable to do chmod Oo0644 on file","10-001-00007","WARNING"
"{0} = key; {1} = filename","Cannot fix header, header key '{0}' missing. \n\t Filename = {1}","","Means that key X (to id file) was not found in header","10-001-00008","WARNING"
"{0} = filename","FP file does not pass 2D quality control. \n\t Filename = {0}","","Means that a file did not pass the 2D FP quality checks","10-001-00009","WARNING 4"
"{0} = hdu number; {1} = extension name; {2} = datatype","HDU[{0}]='{1}' has incorrect data type (Must be 'table' or 'image') - skipping extension \n\t data type = '{2}'","","Means that a header extension was not table/image datatype","10-001-00010","WARNING 4"
"{0} = filename","{0} locked. Trying again in 5s.","","Means that file was locked - we are trying again","10-001-00011","WARNING 2"
"","","","","",""
"None","\t","","Constant/Config/Database Warning Messages","10-002-00000","WARNING"
"{0} = source of constant; {1} = instrument name; {2} = directory name","User config defined in {0} but instrument {1} directory not found. \n\t Directory = {2} \n\t Using default configuration files.","","Means that config file was defined but directory was not found","10-002-00001","WARNING"
"{0} = key; {1} = place duplicated; {2} = other config files; {3} = this config file","Key '{0}' duplicated in '{1}' \n\t Other configs: {2} \n\t Config File = {3}","","Means that key was duplicated in another config file","10-002-00002","WARNING"
"{0} = database name; {1} = header key; {2} = value; {3} = data type; {4} = function","Database {0}: Header key ""{1}""=""{2}"" must of of data type ""{3}"" \n\t Function = {4}","","Means that header key value was not the correct data type","10-002-00003","WARNING 2"
"{0} = database name; {1} = header key; {2} = function name","Database {0}: Header key ""{1}"" invalid for database. \n\t Function = {2}","","Means that header key was not valid for database (and will be skipped)","10-002-00004","WARNING"
"{0} = length of columns; {1} = length of values","Index database has wrong number of columns \n\t Num columns = {0}   num values = {1}","","Means index database has wrong number of columns","10-002-00005","WARNING"
"None","Reset database? [Y]es or [N]o?\t","","Reset database user prompt for wrong number of columns","10-002-00006","WARNING"
"None","\nWarning: Bad profile name changed from '{0}' to '{1}'","","Means that bad profile name was given and it has been changed","10-002-00007","WARNING"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","\t","","Class/Function Warning Messages","10-003-00000","WARNING"
"{0} = filename","File was rejected from combining process: {0}","","Means that a file was rejected from the combining process","10-003-00001","WARNING 3"
"{0} = number of files rejected","{0} file(s) were rejected from combining process","","Means that some files were rejected from the combining process","10-003-00002","WARNING 4"
"","","","","",""
"","","","","",""
"","","","","",""
"None","\t","","Index Warning Messages","10-004-00000","WARNING"
"{0} = column name; {1} = program to fix this","Index file does not have column='{0}' \n\t Please run '{1}'.","","Warning the user when column isn't in index file","10-004-00001","WARNING"
"{0} = index file name; {1} = program to fix this","No index file for '{0}'. Please run '{1}'","","Warning that there was no index file found","10-004-00002","WARNING"
"","","","","",""
"None","\t","","Log Warning Message","10-005-00000","WARNING"
"{0} = line number; {1} = function name or blank; {2} = warning message (in system python language i.e. probably english)","Python Warning Line: {0} {1} warning reads: '{2}'","","Warning from python (passed via function 'warninglogger')","10-005-00001","WARNING 1"
"{0} = log directory key (i.e. DRS_DATA_MSG)","Cannot write to log file. Key = '{0}' missing from config","","Means that the log directory 'key' was not in parameter dict (i.e. not in config file)","10-005-00002","WARNING"
"{0} = log directory path; {1} current value for log directory path","Cannot write to log file \n\t Directory = '{0}' does not exist \n\t '{0}' = '{1}'","","Means the 'dir_data_msg' directory does not exist","10-005-00003","WARNING"
"{0} = break point function name","Breakpoint reached (breakfunc={0})","","Means that a break point (via function name) was reached","10-005-00004","WARNING"
"None","Undefined PID not recommended (params is None)","","Means that PID is undefined as params is None","10-005-00005","WARNING"
"None","Undefined PID not recommended (PID is missing)","","Means that PID is undefined as PID is missing","10-005-00006","WARNING"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","","","User preprocessing Warning","10-010-00000","WARNING"
"None","Error {0}: {1}","","resolve pre-processing error","10-010-00001","WARNING 8"
"None","Error {0}: {1}","","resolve pre-processing error","10-010-00002","WARNING 8"
"None","Error {0}: {1}","","resolve pre-processing error","10-010-00003","WARNING 8"
"None","Error {0}: {1}","","resolve pre-processing error","10-010-00004","WARNING 8"
"","","","","",""
"None","","","User Dark Warning","10-011-00000","WARNING"
"","","","","",""
"None","","","User Bad pixel Warning","10-012-00000","WARNING"
"{0} = number of flat files; {1} = number of dark files","Inconsistent number of input flat / dark files (No. flat={0}, No. dark={1}) and combine set to False.","","Tells the user that there were a different amount of dark to flat files in badpixs (only true when combine set to False)","10-012-00001","ERROR"
"","","","","",""
"","","","","",""
"None","","","User Localisation Warning","10-013-00000","WARNING"
"","","","","",""
"","","","","",""
"None","","","User shape/tilt Warning","10-014-00000","WARNING"
"{0} = group number","Quality control failed for group {0} \n\t Image quality too poor (sigma clip failed)","","Means that shape master transforms iteration failed the quality control","10-014-00001","WARNING 6"
"{0} = group number; {1} = xres value; {2} = yres value; {3} = limit","Quality control failed for group {0} \n\t XRES = {0} YRES = {1} (limit = {2})","","Means that shape master xres or yres iteration failed the quality control","10-014-00002","WARNING 6"
"{0} = order of qc failure; {1} = ypixel location of qc failure; {2} = max std that caused qc failure; {3} = qc limit for failure","QUALITY CONTROL FAILED: The std of the dxmap for order {0} ypixel {1} is too large. \n\t std = {2:.5f} (limit = {3:.5f}) \n\t Cannot continue. Exiting.","","Means that QC failed (during creation of dxmap) and file will not be written","10-014-00003","WARNING 6"
"","","","","10-014-00004","WARNING"
"","","","","10-014-00005","WARNING"
"","","","","10-014-00006","WARNING"
"","","","","",""
"","","","","",""
"None","","","User flat/blaze Warning","10-015-00000","WARNING"
"","","","","",""
"","","","","",""
"None","","","User extraction/berv Warning","10-016-00000","WARNING"
"{0} = order number","Skipping order {0} (not in valid orders) values will be set to NaN","","Means that order was skipped at user request in extraction process","10-016-00001","WARNING 4"
"{0} = fiber name; {1} = order number; {2} = flux value; {3} = saturation limit","SATURATION LEVEL REACHED on Fiber {0} order={1} \n\t flux ({2}) > limit ({3})","","Means that the saturation level was exceeded","10-016-00002","WARNING 4"
"{0} = estimate accuracy; {1} = function name","Could not import barycorrpy. \n\t Using BERV estimate (+/- {0} m/s) instead. \n\t Function = {1}","","Means that we could not import barycorrpy (and using estimate instead)","10-016-00003","WARNING 8 "
"{0} = Error type; {1} = Error message; {2} = estimate accuracy; {3} = Function name","Could not calculate BERV using barycorrpy. \n\t Error {0}: {1} \n\t Using BERV estimate (+/- {2} m/s) instead. \n\t Function = {3}","","Means that we could not calculate berv using barycorrpy (and using estimate instead)","10-016-00004","WARNING 8"
"{0} = estimate accuracy","Calculating BERV using estimate (+/- {0} m/s)","","Print warning that we are calculating BERV using estimate","10-016-00005","WARNING 8"
"{0} = ra; {1} = dec; {2} = radius; {3} = error type; {4} = error message; {5} = Function","Gaia Crossmatch error: Could not use ra='{0}' and dec='{1}' to crossmatch (radius={2}). \n\t Error {3}: {4} \n\t Function = {5}","","Prints a warning that we could not use ra and dec to crossmatch with obj_list lookup table","10-016-00006","WARNING"
"{0} = function name","Gaia crossmatch error: Cannot create query \n\t Must provide either a 'gaiaid' or a 'objname' or an 'ra and dec' or a 'query' \n\t Function = {0}","","Means that the query was not defined (i.e. gaiaid/objname/ra/dec/query were unset)","10-016-00007","WARNING 8"
"{0} = url; {1} = query; {2} = error type; {3} = error message; {4} = function name","Gaia crossmatch error: Cannot use astroquery TapPlus. \n\t URL={0} \n\nquery = {1}\n\n\t Error {2}: {3} \n\t Function = {4}","","Means that we could not use astroquery TapPlus to query gaia","10-016-00008","WARNING 8"
"{0} = error type; {1} = error message; {2} = function name","Gaia crossmatch error: Must has astroquery installed to crossmatch with gaia. \n\t Error {0}: {1} \n\t Function = {2}","","Means that we cannot use astroquery (not found) to cross match to gaia","10-016-00009","WARNING 8"
"{0} = ra; {1} = dec; {2} = radius; {3} = error type; {4} = error message; {5} = Function","Gaia Crossmatch error: Could not use ra='{0}' and dec='{1}' to query gaia - via astroquery TapPlus (radius={2}). \n\t Error {3}: {4} \n\t Function = {5}","","Prints a warning that we could not use ra and dec to crossmatch with gaia (via astroquery TapPlus)","10-016-00010","WARNING 8"
"{0} = function name","Gaia Crossmatch error: No entries found after crossmatch with gaia. \n\t Function = {0}","","Means that no rows were found after querying gaia (via astroquery TapPlus)","10-016-00011","WARNING 8"
"{0} = infile dprtype; {1} = required dprtype; {2} = filename","Skipping extraction DPRTYPE = {0} (Required = {1}) \n\t File = {2}","","Means that file will be skipped due to incorrect DPRTYPE","10-016-00012","WARNING 2"
"{0} = infile objname; {1} = required objname; {2} = filename","Skipping extraction OBJNAME = {0} (Required = {1}) \n\t File = {2}","","Means that file will be skipped due to incorrect OBJNAME","10-016-00013","WARNING 2"
"{0} = estimate accuracy","No barycorrpy berv values found, using pyasl estimate. \n\t Only good to  +/- {0:.3f} m/s \n\t For precise RV must have barycorrpy working (see extraction log)","","Means that no berv values found so using estimated values","10-016-00014","WARNING"
"{0} = object name","Simbad Query: No results found for object: {0}","","means in simbad query no results were found for object","10-016-00015","WARNING 8"
"{0} = object name; {1} = columns found","Simbad Query: 'RA' not found in simbad results for object: {0}. \n\t Cols found: {1}","","means that 'RA' was not found in simbad query","10-016-00016","WARNING 8"
"{0} = object name; {1} = columns found","Simbad Query: 'DEC' not found in simbad results for object: {0}. \n\t Cols found: {1}","","means that 'DEC' was not found in simbad query","10-016-00017","WARNING 8"
"{0} = object name; {1} = ra units found","Simbad Query: 'RA' units not understood for object: {0}. Found units='{1}'","","means that 'RA' units were not understood in simbad query","10-016-00018","WARNING 8"
"{0} = object name; {1} = dec units found","Simbad Query: 'DEC' units not understood for object: {0}. Found units='{1}'","","means that 'DEC' units were not understood in simbad query","10-016-00019","WARNING 8"
"{0} = object name; {1} = error type; [2} = error message","Simbad Query error for object '{0}'. \n\t Error {1}: {2}","","means there was an error in the simbad query","10-016-00020","WARNING 8"
"{0} = dprtype; {1} = allowed dprtypes; {2} = infile filename","Wrong DPRTYPE for leak correction. \n\t DPRTYPE: '{0}' \n\t Allowed DPRTYPEs: {1} \n\t Input file name: {2}","","means that infile dprtype was wrong for leak correction","10-016-00021","WARNING 4"
"{0} = fiber name; {1} = allowed fibers; {2} = infile filename","Wrong fiber for leak correction. \n\t fiber: '{0}' \n\t Allowed fibers: {1} \n\t Input file name: {2}","","means that infile fiber was wrong for leak correction (must be science fiber)","10-016-00022","WARNING 4"
"{0} = infile filename","Leakage already corrected for file: {0}","","means that leak correction header key was found and was true there for correction was already done","10-016-00023","WARNING 2"
"{0} = order number; {1} = ratio value; {2} = approx ratio value; {3} = fraction; {4} = lower bound value; {5} = upper bound value","Spurious reference FP found (Order = {0}). \n\t Ratio={1:.3e} Approx={2:.3e} Fraction={3:.3f} (Fraction must agree within {4} to {5})","","means that ratio/approx ratio was out of bounds","10-016-00024","WARNING 4"
"{0} = night directory","No dark fp files found for night={0}. Skipping leak master.","","means that no dark fp files were found for this master night","10-016-00025","WARNING 4"
"","","","","",""
"","","","","",""
"None","","","User wave solution Warning","10-017-00000","WARNING"
"{0} = wave key looked for","Could not find wave key '{0}' in calibDB using wave master.","","Means that could not find a wave key so using wave master","10-017-00001","WARNING"
"{0} = number of hc files; {1} = number of fp files","Inconsistent number of input hc / fp files (No. hc={0}, No. fp={1}) and combine set to False.","","Tells the user that there were a different amount of hc to fp files in wave recipe (only true when combine set to False)","10-017-00002","WARNING"
"{0} = current fit degree; {1} = required fit degree","Inconsistent wave solution fit degree ({0}) expected {1} \n\t Re-mapping onto expected fit degree.","","Means that the wavelength solution fit degree was inconsistent with requirement","10-017-00003","WARNING 2"
"{0} = slope pixel shift; {1} = intercept pixel shift","Pixel shift is not 0 (slope={0} intercept={1}) check that this is desired","","Means that pixel shift parameters are not zero","10-017-00004","WARNING"
"{0} = order number","No value found for order {0}","","Means that no lines were found for this order","10-017-00005","WARNING"
"None","HC wave solution failed quality control. FP wave solution not processed","","Means that HC solution failed QC and FP was expected","10-017-00006","WARNING"
"None","No FP files given. FP wave solution not generated.","","Means that FP wave solution was not expected","10-017-00007","WARNING"
"{0} = order number","No overlap for order {0}","","prints that there is no overlap for order","10-017-00008","WARNING"
"{0} = order number","No overlap for order {0}, estimating gap size","","prints that there was no overlap for order so having to estimate gap size","10-017-00009","WARNING"
"{0} = end 1; {1} = end 2; {2} = wavelength 1; {3} = wavelength 2","Missing line estimate miss-match: {0} v {1} from {2:.5f} v {3:.5f}","","prints that there was a missing line estimate miss-match","10-017-00010","WARNING"
"None","Cavity length fit files missing. Cavity length fits will be created.","","prints that cavity length files do not exist so we have to create them","10-017-00011","WARNING"
"{0} = multi-wave plot start order; {1} = final order; {2} = plot name","First order for multi-wave plot '{0}' is higher than final wavelength solution order '{1}'. Plotting of {2} skipped.","","means that the multi wave plot start order is larger than final order","10-017-00012","WARNING"
"{0} = order bin; {1} = spatial bin; {2}=first order; {3} = last order; {4} = first pixel; {5} = last pixel;  {6} = Error type; {7} = Error message","Fit failed for order bin {0} spectral bin {1}  (Nvalid = {2}) \n\t Order {3} to {4}, pixel {5} to {6} \n\t Error {7}: {8}","","Means that the gen res curve fit failed for this bin","10-017-00013","WARNING 4"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","","","User drift Warning","10-018-00000","WARNING"
"{0} = fiber name; {1} = fiber type; {2} = valid fiber type","Skipping fiber {0} = {1} (Not of type {2})","","prints that we are skipping fiber (as not in valid types)","10-018-00001","WARNING"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","","","User telluric Warning","10-019-00000","WARNING"
"{0} = dprtype; {1} = recipe name; {2} = allowed dprtypes; {3} = filename","DPRTYPE = {0} is not valid for {1}. \n\t Allowed DPRTYPES are: {2} \n\t Skipping filename = {3}","","Means that dprtype was not valid","10-019-00001","WARNING 4"
"{0} = base filename; {1}  = object name keyword; {2} = objname","File {0} is blacklisted ({1} = {2}) \n\t Skipping file.","","Means that objname was in blacklist","10-019-00002","WARNING 2"
"{0} = calculated optical depth; {1} = minimum optical depth; {2} = maximum optical depth","Recovered water vapor optical depth invalid (value = {0:.2f}) \n\t Must be between {1:.2f} and {2:.2f}","","Means that recovered water vapor optical depth not between limits","10-019-00003","WARNING"
"{0} = calculated optical depth; {1} = airmass","Recovered optical depth invalid (value={0:.3f} \n\t Too different from airmass (airmass = {1:.3f})","","Means that recovered optical depth of others is too different from airmass","10-019-00004","WARNING"
"{0} = object name; {1} = file type","No files were found for object name = {0}, file type = {1}","","Means that no files were found for object name and file type","10-019-00005","WARNING 2"
"{0} = iteration number; {1} = total number of files; {2} = snr order; {3} = snr of order; {4} = snr threshold","Skipping file {0} of {1}. SNR (order {2}) = {3} (Limit = {4})","","Means that template file was skipped due to poor snr","10-019-00006","WARNING 4"
"{0} = object name","No good files found for object = {0}. Skipping.","","Means that no good files were found for template cube","10-019-00007","WARNING"
"None","Skipping pre-cleaning (user switch)","","Means that the user decided not to do pre-cleaning","10-019-00008","WARNING"
"{0} = object name","Object='{0}' is not a vliad telluric (hot) star.","","Means that object was not in telluric whitelist","10-019-00009","WARNING 2"
"{0} = qc logic; {1} = qc name; {2} = qc value","Telluric pre-cleaning failed QC \n\t Required: {0} \n\t {1} = {2}","","Means that the telluric pre-cleaning failed (a quality control qc parameter failed)","10-019-00010","WARNING 8"
"{0} = berv coverage; {1} = required minimum berv coverage","Insufficient BERV coverage to build template. \n\t BERV coverage was: {0} km/s required > {1} km/s","","Means that template was not created as we didn't have sufficient berv coverage","10-019-00011","WARNING"
"{0} = function name; {1} = error type; {2} = error string","Removing/Writing of abso npy file failed. Trying again. \n\t Function = {0} \n\t {1}: {2}","","warns that we could not remove abso npy file","10-019-00012","WARNING 2"
"","","","","",""
"","","","","",""
"None","","","User Radial velocity Warning","10-020-00000","WARNING"
"{0} = order number","All NaN slice found when fitting CCF (Order = {0}). Returning NaNs instead of fit.","","Means that an all NaN array was found when trying to fit the CCF","10-020-00001","WARNING"
"None","NaNs found in image. Replacing NaNs with values smoothed by kernel.","","Means that we found NaNs and need to replace the NaNs by something","10-020-00002","WARNING 2"
"{0} = reference wave time; {1} = science wave time; {2} = reference wave file; {3} = science wave file","Reference wave solution time did not match science wave solution time. Using science wave solution for reference fiber. \n\t Reference wave time = {0}   science wave time = {1} \n\t Reference wave file: {2} \n\t Science wave file: {3}","","Means that the reference wave solution did not match the science wave solution in time","10-020-00003","WARNING 2"
"{0} = order number","Order {0} has no finite values. CCF set to NaNs.","","Means that whole order is full of NaNS so CCF will be NaN","10-020-00004","WARNING 4"
"{0} = order number","Order {0} CCF generated a non-finite value. CCF set to NaNs.","","Means that the CCF had NaNs in","10-020-00005","WARNING 4"
"{0} = order number; {1} = minimum order wavelength; {1} = maximum order wavelength","Order {0} CCF mask for this order has no lines. CCF set to NaNs. \n\t order wavelength: {1:.3f} to {2:.3f}","","Means that mask has no lines for this order","10-020-00006","WARNING 4"
"{0} = order number","Order {0} CCF mask for this order only has lines in invalid blaze locations. CCF set to NaNs","","Means that mask is only in the blaze cut off, i.e. no valid lines","10-020-00007","WARNING 4"
"{0} = order number","Order {0} nphot negative (poor spectrum) cannot calculate CCF noise  setting noise and SNR to NaNs","","Means wsum was less than zero and cannot calculate wnoise","10-020-00008","WARNING 4"
"","","","","",""
"","","","","",""
"None","","","User Polarimetry Warning","10-021-00000","WARNING"
"{0} = CMMTSEQ key; {1} =  value of cmmtseq key; {2} = filename","Could not extract exposure number from {0} \n\t {0} = {1} \n\t File = {2}","","Means we could not extract exposure number out of CMMTSEQ","10-021-00001","WARNING"
"{0} = CMMTSEQ key; {1} =  value of cmmtseq key; {2} = filename","Could not extract sequence number from {0} \n\t {0} = {1} \n\t File = {2}","","Means we could not extract sequence number out of CMMTSEQ","10-021-00002","WARNING"
"{0} = CMMTSEQ key; {1} =  value of cmmtseq key; {2} = filename","Could not extract total number of sequences from {0} \n\t {0} = {1} \n\t File = {2}","","Means we could not extract total number of sequences out of CMMTSEQ","10-021-00003","WARNING"
"{0} = CMMTSEQ key; {1} = filename","Key = {0} incorrect for file = {1}","","Means that file is not a polar file (CMMTSEQ incorrect)","10-021-00004","WARNING"
"{0} = fiber name; {1} = filename","Fiber={0} is not valid for file: {1}","","Means that fiber is not valid for polar recipe","10-021-00005","WARNING"
"{0} = exposure number; {1} = exposure number","Exposure {0} in spectroscopic mode, set exposure number = {1}","","Means that exposure N was in spectroscopic mode","10-021-00006","WARNING 2"
"{0} = minimum number of points required","Minimum number of points required reached (={0}) - stopping rejection","","Means that the minimum number of points are left (after rejection) so stopping rejecting points","10-021-00007","WARNING 2"
"{0} = Error type; {1} = Error message; {2} = function name","Failed to fit gaussian to LSD profile \n\t{0}: {1} \n\t Function = {2}","","Means curve fit failed in LSD profile fitting","10-021-00008","WARNING 4"
"","","","","10-021-00009","WARNING"
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"None","","","Post processing warnings","10-090-00000","WARNING"
"{0} = reduced file name","Removing reduced file: {0}","","prints we are removing red file (clear = True)","10-090-00001","WARNING 2"
